path,sentence
common_voice_th_25686161.mp3,มันเป็นเรื่องที่ดีที่การเดินทางย้อนเวลาไม่ได้มีอยู่จริง
common_voice_th_25686166.mp3,เขาต้องมีส่วนรู้เห็นกับอาชญากรรมนี้แน่
common_voice_th_25897915.mp3,ที่ทำการไปรษณีย์จะทำการหยุดตัวอักษรหรือโทรเลข เขากล่าว
common_voice_th_25897916.mp3,บนเพดานของห้องส่วนใหญ่ยังคงไม่บุบสลาย แต่ก็ยังเห็นร่องรอยจากความชื้น
common_voice_th_25897918.mp3,มันคือความอับอาย บริสุทธิ์และง่าย
common_voice_th_25897930.mp3,คุณสามารถไปที่เครื่องจ่ายและพ่นลาวา
common_voice_th_25897932.mp3,ไม่เห็นอะไร ไม่พูดอะไร และไม่รู้อะไร
common_voice_th_25897935.mp3,ท่านประธานรัฐสภาที่เคารพ
common_voice_th_25897948.mp3,นายอธิรัฐ รัตนเศรษฐ
common_voice_th_25897950.mp3,“เขาดูเหมือนคนยังไม่ได้นอน” เขากล่าว
common_voice_th_25897951.mp3,เขาคิดถูกแล้วที่บอกว่าตุ่นปากเป็ดเป็นสัตว์เลี้ยงลูกด้วยนม
common_voice_th_25897953.mp3,ที่นี่คือบ้านที่น่าสยดสยอง นายกั๊ปปี้พูดว่า ปิดหน้าต่าง
common_voice_th_25897954.mp3,เขาจะแปลกใจขนาดไหนถ้าเขารู้ว่าฉันคือใคร
common_voice_th_25897955.mp3,ฉันชอบดูพลุก่อนวันปีใหม่
common_voice_th_25897956.mp3,พลเอก ประยุทธ์ จันทร์โอชา
common_voice_th_25897957.mp3,ฉันพร้อมจะทำมัน
common_voice_th_25897970.mp3,เรื่องราวนี้ไม่ได้คิดค้น เขาตอบกลับ
common_voice_th_25897975.mp3,เราขุดดินและโปรยเมล็ด
common_voice_th_25897984.mp3,พ่อของคุณคือใคร
common_voice_th_25897985.mp3,กับดักใช้ในการจับปลาเช้าและ ปลาลิ้นเสือ
common_voice_th_25897987.mp3,ฉันเป็นผู้สื่อข่าว ไม่ใช่ตากล้อง
common_voice_th_25897999.mp3,ช่องสามเอชดี
common_voice_th_25898000.mp3,โปรดใช้เครื่องหมายทับปกติไม่ใช่แบ็กสแลช
common_voice_th_25898001.mp3,ฉันเสียใจแต่เราต้องไปแล้วตอนนี้
common_voice_th_25898002.mp3,ลูกชายของฉันฟังเพลงฮิพฮอพและเพลงแรพ
common_voice_th_25898021.mp3,ให้หลุดพ้นจากกับดักประเทศรายได้ปานกลาง
common_voice_th_25898022.mp3,นางฟ้าต้องร้องไห้
common_voice_th_25898023.mp3,นี่มันหนักเกินกว่าที่ข้อกำหนดแนะนำ
common_voice_th_25898024.mp3,เคธี่เลือกปริ้นท์รูปที่ดีที่สุดเสมอและติดรูปเหล่านั้นบนผนัง
common_voice_th_25641113.mp3,ฉันเข้าใจพวกเรามีพบปะ
common_voice_th_25641115.mp3,คนไทยทุกคนรอท่านอยู่นะคะ
common_voice_th_25641118.mp3,ฉันจับเวลาการพูดของฉัน ทั้งหมดได้ห้าวินาที
common_voice_th_25641210.mp3,คุณแม่ของฉันใช้ปลอกนิ้วขนาดเล็กขณะเย็บผ้า
common_voice_th_25641361.mp3,เพราะฉะนั้นฉันจะไม่เสียดายมัน
common_voice_th_25641378.mp3,วอน
common_voice_th_25641382.mp3,อันนั้นจะเหมาะกับคุณไหม
common_voice_th_25641442.mp3,เขาไขประตูและออกไปสู่ท่าจอด
common_voice_th_25641462.mp3,เขากำลังพูดอยู่กับใคร
common_voice_th_25642022.mp3,จอสูงเกินไป
common_voice_th_25642430.mp3,มันรู้สึกดีมากที่ได้เจอพวกเขา แต่ตอนนี้ ฉันกลับรู้สึกเหนื่อยหน่าย และน้ำตาไหลออกมา
common_voice_th_25642481.mp3,เธอมันร้าย ! ร้ายนัก ! หล่อนพูดเหยีดหยามซ้ำไปมาด้วยความโมโห
common_voice_th_25642902.mp3,เช่นเดียวกันกับหุ่นไล่กา
common_voice_th_25642903.mp3,พวกเขาทั้งหมดออกไปที่ห้องโถง
common_voice_th_25642904.mp3,พี่เป็นไข้หวัด
common_voice_th_25657346.mp3,ใช้เครื่องดับเพลิงนั้นแล้วดับไฟ !
common_voice_th_25657530.mp3,แสดงตัวอย่าง
common_voice_th_25657553.mp3,จัดตั้งจังหวัดพะเยา โดยแยกจากจังหวัดเชียงราย
common_voice_th_25657584.mp3,การได้รับประกันตัวนี่มันควรเป็นสิทธิพื้นฐานทั่วไป
common_voice_th_25657704.mp3,น่าชื่นชม
common_voice_th_25657876.mp3,“ผมขอให้ท่านอภัยผม” เขากล่าว
common_voice_th_25632000.mp3,ที่รักฉันไม่เคยเห็นเขาเลย
common_voice_th_25632002.mp3,ออกตอนนี้และคุณจะมาถึงตรงเวลา
common_voice_th_25632084.mp3,คุณยังเด็กที่จะเป็นผู้ดูแลโรงแรม” ฉันพูด
common_voice_th_25632090.mp3,คุณเป็นอย่างไรบ้าง
common_voice_th_25632091.mp3,และแสงสว่างจ้าทะลุผ่านรอยขาดของผ้าม่าน
common_voice_th_25632092.mp3,ช่วยครอบครัวที่มีอาชีพทำข้าวหลามขาย
common_voice_th_25632105.mp3,มันสำคัญด้วยเหรอ ?
common_voice_th_25632134.mp3,เราต้องทำงานนี้อย่างมีแผนนะ
common_voice_th_25632143.mp3,'เธอรู้ได้ยังไงว่าฉันโกรธ ? ' อลิซถาม
common_voice_th_25632147.mp3,แค่นี้ล่ะ ฮัมพ์ตี้ดัมพ์ตี้กล่าว
common_voice_th_25632160.mp3,สุขสันต์วันคริสต์มาสนะทุกคน
common_voice_th_25632176.mp3,ฉันเป็นหนี้บุณคุณของคุณ ขอบคุณ
common_voice_th_25632178.mp3,ไม่จำเป็น ฉันสั่งอาหารกลับบ้านแล้ว เดี๋ยวอาหารก็มา
common_voice_th_25632179.mp3,รัฐตัดสินใจที่จะเน้นในเรื่องการควบคุมพื้นที่ชายแดนมากขึ้นเนื่องจากผู้อพยพ
common_voice_th_25632197.mp3,เธอห้ามไม่ให้พวกเขาสูบบุหรี่หลังห้อง
common_voice_th_25632200.mp3,เราจะต้องมีทุนเพิ่มถ้าอยากจะทำงานชิ้นนี้ให้เสร็จ
